-19.093,-4.1216,72.101,100,90,70
-19.092,-4.0527,72.103,145,127,95
-19.084,-3.8631,72.107,137,125,104
-19.084,-4.0406,72.099,163,143,107
-19.084,-3.9446,72.092,151,140,116
-19.081,-4.107,72.092,115,101,76
-19.079,-3.596,72.079,41,37,23
-19.077,-3.6231,72.088,79,70,53
-19.077,-4.1373,72.106,86,84,71
-19.076,-4.0164,72.095,158,142,103
-19.076,-3.5951,72.073,52,47,32
-19.074,-3.5791,72.078,43,37,25
-19.073,-4.0802,72.096,158,138,99
-19.073,-4.1443,72.096,83,84,76
-19.073,-4.1182,72.085,67,65,56
-19.073,-3.6446,72.063,98,89,68
-19.073,-4.0366,72.121,130,117,87
-19.073,-3.5711,72.103,84,73,56
-19.073,-3.5692,72.086,86,72,54
-19.072,-3.8027,72.078,109,104,91
-19.071,-3.5741,72.082,73,62,45
-19.071,-4.1063,72.084,77,67,50
-19.07,-3.9369,72.085,118,114,93
-19.07,-3.5575,72.093,108,92,68
-19.07,-3.5879,72.062,49,44,30
-19.069,-3.5735,72.07,36,31,19
-19.067,-3.6068,72.129,80,72,54
-19.063,-3.5858,72.155,93,82,58
-19.062,-3.546,72.083,136,116,84
-19.062,-3.6049,72.051,52,47,31
-19.061,-3.5274,72.106,131,119,87
-19.061,-4.0105,72.099,174,156,111
-19.061,-3.5616,72.075,80,67,46
-19.06,-4.0265,72.101,173,153,109
-19.06,-3.9854,72.093,149,137,101
-19.06,-3.5286,72.091,163,145,104
-19.059,-3.5345,72.153,91,80,55
-19.059,-4.0889,72.086,139,121,91
-19.059,-3.57,72.163,115,101,71
-19.058,-4.0568,72.101,154,133,92
-19.053,-4.0803,72.095,152,133,93
-19.052,-3.6656,72.157,93,85,63
-19.052,-3.6043,72.04,58,52,34
-19.051,-3.6842,72.047,89,83,68
-19.05,-3.5761,72.048,80,65,44
-19.05,-3.5413,72.159,95,83,59
-19.05,-3.4962,72.172,118,111,100
-19.049,-4.1192,72.09,89,85,73
-19.048,-3.4558,72.175,159,147,143
-19.047,-3.5301,72.169,91,83,70
-19.047,-3.3936,72.179,216,216,208
-19.046,-3.5368,72.085,180,159,113
-19.045,-3.9957,72.1,165,148,108
-19.045,-3.5563,72.076,147,124,89
-19.045,-3.5141,72.099,103,89,56
-19.044,-3.4369,72.179,204,200,192
-19.044,-3.2773,72.155,147,145,135
-19.044,-3.5157,72.135,88,80,58
-19.042,-3.4159,72.185,237,236,227
-19.041,-3.3672,72.181,208,209,200
-19.041,-4.0871,72.086,153,136,104
-19.041,-4.0228,72.106,175,154,109
-19.04,-3.5331,72.161,86,78,61
-19.04,-3.4574,72.173,159,152,145
-19.04,-3.5851,72.041,52,47,29
-19.039,-3.4959,72.156,104,94,79
-19.039,-3.4043,72.189,229,228,218
-19.036,-3.5058,72.165,100,95,85
-19.035,-3.626,72.035,96,87,62
-19.035,-4.0596,72.1,113,95,56
-19.034,-3.3432,72.177,181,183,177
-19.032,-4.0707,72.092,166,147,105
-19.032,-4.0619,72.097,127,111,69
-19.031,-3.7416,72.047,97,96,87
-19.03,-3.391,72.191,200,202,193
-19.028,-4.014,72.107,170,150,106
-19.027,-3.8567,72.073,110,106,93
-19.027,-3.5646,72.073,89,75,49
-19.027,-4.0584,72.1,95,80,40
-19.026,-4.1357,72.116,88,87,75
-19.026,-3.4631,72.17,140,141,135
-19.025,-3.5413,72.085,153,136,93
-19.024,-3.5799,72.053,51,42,25
-19.024,-3.4619,72.17,135,134,119
-19.023,-4.0886,72.09,146,130,100
-19.023,-3.4894,72.154,91,90,79
-19.022,-4.0749,72.089,175,154,113
-19.022,-4.0578,72.099,121,105,63
-19.021,-3.4395,72.178,157,161,162
-19.02,-3.2908,72.156,157,156,150
-19.019,-3.5265,72.093,139,121,83
-19.018,-4.0445,72.104,154,133,90
-19.018,-4.0264,72.108,182,161,114
-19.015,-4.0035,72.108,169,151,107
-19.015,-4.0562,72.152,124,115,85
-19.014,-4.0174,72.109,187,166,119
-19.013,-3.6067,72.037,71,63,38
-19.013,-3.9776,72.102,127,116,81
-19.013,-3.4183,72.198,201,204,196
-19.013,-3.4653,72.165,104,110,108
-19.013,-3.3669,72.183,176,178,175
-19.011,-3.9901,72.107,157,141,98
-19.01,-3.9963,72.108,169,151,107
-19.01,-3.499,72.127,94,86,63
-19.007,-3.5689,72.08,67,58,37
-19.007,-3.5524,72.085,130,114,80
-19.006,-3.6935,72.041,88,84,66
-19.005,-3.9969,72.107,171,154,109
-19.002,-3.9308,72.092,91,88,74
-19.001,-4.0127,72.108,190,169,123
-19.001,-4.0682,72.096,160,141,100
-18.999,-3.4552,72.173,123,128,132
-18.997,-3.5684,72.082,64,56,37
-18.996,-4.0262,72.106,185,163,117
-18.994,-4.109,72.099,106,98,79
-18.994,-3.5923,72.05,41,35,20
-18.991,-4.0537,72.1,151,131,88
-18.99,-3.4027,72.186,195,195,191
-18.989,-3.3231,72.161,159,155,147
-18.989,-4.0415,72.103,163,141,100
-18.988,-3.5827,72.074,43,37,23
-18.987,-3.4281,72.194,190,191,190
-18.986,-3.5729,72.083,44,39,25
-18.985,-4.1049,72.167,118,111,85
-18.984,-3.9986,72.108,161,146,103
-18.983,-3.9518,72.099,123,111,81
-18.983,-4.0602,72.099,164,146,101
-18.981,-4.0833,72.096,133,119,92
-18.981,-3.4532,72.174,164,164,161
-18.981,-3.2789,72.147,123,111,97
-18.98,-3.5454,72.095,154,134,92
-18.98,-3.5603,72.09,109,93,64
-18.98,-3.8776,72.081,144,139,133
-18.98,-4.02,72.107,167,146,105
-18.979,-3.5804,72.076,38,33,19
-18.978,-3.5713,72.084,56,49,32
-18.976,-3.5233,72.104,155,138,103
-18.975,-3.5025,72.126,121,103,69
-18.975,-3.3,72.152,134,122,104
-18.972,-3.9656,72.174,113,108,90
-18.971,-3.271,72.141,158,139,110
-18.97,-3.3776,72.162,215,207,194
-18.97,-3.4749,72.156,94,93,88
-18.969,-3.4286,72.169,190,184,172
-18.968,-3.3284,72.151,201,191,166
-18.968,-3.5861,72.067,43,37,20
-18.965,-3.623,72.03,75,63,36
-18.965,-3.6027,72.04,85,75,44
-18.965,-3.3441,72.15,228,219,190
-18.964,-3.3558,72.151,228,218,192
-18.963,-3.598,72.05,61,53,30
-18.963,-4.0654,72.101,159,141,102
-18.961,-3.3413,72.145,223,210,175
-18.959,-3.281,72.136,213,193,148
-18.956,-4.0123,72.112,175,155,114
-18.955,-3.5566,72.095,118,100,68
-18.954,-3.3133,72.135,217,200,157
-18.953,-3.4629,72.149,230,215,177
-18.953,-3.4391,72.148,215,201,168
-18.952,-3.357,72.137,219,204,164
-18.951,-3.9805,72.111,146,131,97
-18.949,-3.996,72.114,164,146,106
-18.948,-3.5368,72.101,160,137,93
-18.948,-4.0057,72.115,178,159,117
-18.947,-3.602,72.04,92,75,42
-18.947,-3.4966,72.126,219,198,150
-18.946,-3.2516,72.13,205,185,138
-18.945,-3.2809,72.129,214,196,149
-18.944,-3.3301,72.126,212,194,152
-18.944,-3.5907,72.058,61,51,30
-18.943,-4.0356,72.108,159,139,100
-18.943,-3.5725,72.087,54,45,25
-18.943,-3.392,72.134,205,187,141
-18.941,-3.6229,72.012,102,87,61
-18.941,-4.0668,72.098,164,146,104
-18.94,-4.0534,72.1,166,148,106
-18.94,-3.4786,72.131,213,195,154
-18.938,-3.5573,72.099,107,90,59
-18.938,-3.4354,72.131,222,204,158
-18.937,-3.3115,72.124,206,190,147
-18.937,-3.6317,72.018,95,81,57
-18.935,-3.9188,72.1,160,148,129
-18.935,-3.4634,72.13,216,198,151
-18.935,-4.0857,72.101,131,116,89
-18.934,-4.0166,72.115,175,153,110
-18.934,-3.4097,72.124,214,198,161
-18.933,-3.3664,72.126,209,192,147
-18.933,-3.9957,72.117,172,152,111
-18.932,-3.5077,72.113,171,149,106
-18.931,-4.1691,72.184,78,78,67
-18.931,-3.815,72.072,141,132,109
-18.931,-3.286,72.128,197,178,135
-18.93,-4.059,72.099,173,155,111
-18.928,-4.1932,72.164,80,84,78
-18.928,-3.3272,72.124,191,171,130
-18.924,-3.3819,72.123,200,182,136
-18.923,-4.0761,72.098,156,138,102
-18.923,-3.4797,72.119,219,202,155
-18.922,-3.6226,72.015,105,90,64
-18.921,-3.972,72.115,154,137,103
-18.921,-4.0051,72.119,182,161,117
-18.921,-3.6095,72.029,94,78,49
-18.92,-3.2706,72.129,209,188,142
-18.919,-3.44,72.119,217,200,151
-18.917,-3.6754,72.039,76,70,52
-18.917,-3.3651,72.122,204,183,139
-18.916,-3.557,72.103,81,70,44
-18.916,-3.465,72.12,201,185,140
-18.915,-3.5275,72.11,157,138,100
-18.915,-4.1299,72.117,105,105,99
-18.913,-3.4074,72.12,209,189,144
-18.913,-4.015,72.117,176,155,111
-18.913,-4.274,72.146,60,33,20
-18.913,-4.2741,72.146,61,34,21
-18.913,-4.2741,72.146,61,34,21
-18.912,-4.274,72.146,61,34,21
-18.912,-4.274,72.146,61,33,21
-18.912,-4.2738,72.147,59,32,19
-18.912,-4.2738,72.147,62,34,22
-18.91,-3.6163,72.022,110,93,62
-18.908,-3.392,72.121,200,179,135
-18.907,-4.2414,72.185,61,63,55
-18.904,-3.2985,72.13,210,189,146
-18.904,-3.4461,72.119,198,181,136
-18.902,-3.3262,72.128,207,187,142
-18.901,-3.565,72.098,62,56,33
-18.901,-4.0994,72.104,105,94,75
-18.901,-3.283,72.129,223,204,160
-18.899,-3.5808,72.175,130,123,99
-18.899,-3.4155,72.121,213,193,149
-18.898,-3.6057,72.036,106,88,57
-18.896,-3.9962,72.121,188,168,122
-18.896,-3.431,72.12,205,186,141
-18.895,-3.5429,72.11,76,67,46
-18.894,-3.3426,72.126,216,196,152
-18.893,-3.5863,72.064,88,72,44
